purpose,category,title,date,author,body,img1,img2,project
blog,Roofing,New galvalume standing seam metal roof.,"May 03, 2020",Brian McGee,"We enjoyed this one helping a good client out with there metal roof on a vacation home on the beach. Nice weather and tan was a bonus too. This is a snap lock 1.5"" 16"" panel. I just love the look and the detail here at the posts. What a beautiful pool cabana. ",../assets/gallery/sseam1.jpg,../assets/gallery/sseam2.jpg,
blog,Drywall Repair,Large drywall textured finish in basement,"March 02, 2022",Brian McGee,Well cold temperatures and frozen pipes in the basement ceiling caused 12 sheets of drywall damaged in a finished carpeted basement room. Here we have prepped the area with dropcloths and plastic. All boards are installed and ready for the mud work..stay tuned!,../assets/gallery/drywall-repair3a.jpg,../assets/gallery/drywall-repair3.jpg,drywall
blog,Drywall Repair,Drywall textured finish and painted by the handyman,"March 04, 2022",Brian McGee,Well we have been working away on this. We are finishing in a textured finish on the ceiling and smooth on the walls. We have installed a primer and casecoat to match the surrounding...You cant even tell we were here! Another happy client. ,../assets/gallery/drywall-repair4.jpg,../assets/gallery/drywall-repair5.jpg,drywall
blog,Handyman,Bathroom sink faucet install by the handyman,"March 06, 2022",Brian McGee,Well simply call for a bathroom faucet install for a client. We removed the old faucet and installed a new Delta Foundations in chrome finish. Clean up and on to the next. Another happy client!,../assets/gallery/handy-sink1b.jpg,../assets/gallery/handy-sink1a.jpg,repair
blog,Kitchen Backsplash,Beautiful kitchen backsplash tile install,"May 02, 2022",Brian McGee,A simply elegant tile install for these homeowners in their already beautiful kitchen. We were able to add the speacial touch that they always wanted. Another satisfied homeowner!,../assets/gallery/backsplash1.jpg,../assets/gallery/backsplash2.jpg,kitchen-remodel-ah
blog,Deck Repair,Maintenance deck repair boards and posts,"June 02, 2022",Brian McGee,We were able to make some maintenance repairs on this 10 year old deck. We saved the old composite deck boards and replaced the beams and posts in the troubled area. Back to enjoying the pool - Another satisfied homeowner!,../assets/gallery/deck-repair1.jpg,../assets/gallery/deck-repair2.jpg,handyman
blog,Drywall Repair,Moisture damaged drywall and paint repair,"June 06, 2022",Brian McGee,Moisture damaged cieling caused by leaking plumbing has been fixed. We removed all the old board and installed new. Added some texture on one and smooth finish on the other. Next we painted the cieling to match existing. Extra care and caution at the beatiful kitchen cabinets. Problem Solved!,../assets/gallery/drywall-kitchen1b.jpg,../assets/gallery/drywall-kitchen1a.jpg,drywall
blog,Shingle Repair,Roof edge leak solved by BRM,"June 18, 2020",Brian McGee,There was issues on the edge of the roof. The shingles were still in servicable condition so we were able to handle this with a simply maintenance repair and extend the life of this roof verses replacement. Our client was happy and able to set up a budget plan for roof replacment. Problem solved!,../assets/gallery/shingle-repair1.jpg,../assets/gallery/shingle-repair2.jpg,handyman
blog,Siding and Roofing,Porch roof remodel project with siding and wrap,"June 23, 2021",Brian McGee,"What an awesome transformation on this house. We installed new vinyl siding, soffit and fascia, window wraps and more. This is a 2-story company house so its tall. We handle steep and tall - so give us a call.",../assets/gallery/pollin-siding3.jpg,../assets/gallery/house-after.jpg,siding-roofing
blog,Siding and Roofing,"Home renovation project exterior siding, soffit and fascia","June 20, 2021",Brian McGee,"What an awesome transformation on this house. We installed new vinyl siding, soffit and fascia, window wraps and more. This is a 2-story company house so its tall. We handle steep and tall - so give us a call.",../assets/gallery/house-before.jpg,../assets/gallery/pollin-siding2.jpg,siding-roofing
blog,Wood Repair,Painted wood siding repair - Moisture damage,"June 13, 2022",Brian McGee,We brought out the walkboard on this one to make it easy. Just a little moisture damaged siding. This elevation is westward facing so it sees alot rougher weather. Finished and painted - Client happy!,../assets/gallery/siding1.jpg,../assets/gallery/siding2.jpg,siding-roofing
blog,Painting,OMG - 4 flights of Stairs Painting,"July 11, 2022",Brian McGee,Wow when I got wind of this one. 4-flights of stairs to be painted here. Had to be careful not to get trapped on the top floor with wet paint... Well anyways it turned out awesome and paint lines were crisp. Another job DONE right!,../assets/gallery/paint1.jpg,../assets/gallery/paint2.jpg,painting
blog,Roofing,3-story shingle roofing repair by the handyman,"July 16, 2022",Brian McGee,"There was a pretty bad leak hear at the dead valley and wall area, we were able to help. This repair is 3-stories up so work of the ladder was necessary. We replaced the rotted wood, new shingles and underlayment. Replaced some Hardie Siding and painted to match. Problem Solved!",../assets/gallery/shingle-repair3a.jpg,../assets/gallery/shingle-repair3b.jpg,repair
blog,Drywall Repair,Bedroom blues... drywall repair and paint,"Oct 29, 2022",Brian McGee,Well for such a happy blue bedroom the wall had water damge at the window sill area. We removed the drywall and install new with extra caution at the carpet flooring. After a return trip sanded and repainted the complete room. Another happy client!,../assets/gallery/drywall-repair2.jpg,../assets/gallery/drywall-repair1.jpg,repair
blog,Deck Build,Custom Deck Build,"Nov 08, 2022",Brian McGee,The weather is awesome and this deck is going to be beautiful! We are all framed in here and are going to be installing the deck boards next. This deck is over 350sqft and is being built with pressure treated lumber. Check back soon!,../assets/gallery/custom-deck4.jpg,../assets/gallery/custom-deck5.jpg,custom-deck
blog,Deck Build,Wrapping up a wood deck with railing,"Nov 11, 2022",Brian McGe,"What an awesome deck we built here! We completed it winter time just before the snow. I know these clients will be enjoying this come spring. We installed this pressure treated deck over posts and beams, it is over 350 sqft - huge. It is a beatiful oasis and awesome addition to the new pool. ",../assets/gallery/custom-deck2.jpg,../assets/gallery/custom-deck3.jpg,custom-deck
blog,Deck Build,Pressure treated wood deck final touches,"Nov 12, 2022",Brian McGee,"Well we are finishing up the final touches here on this deck. Final trim pieces and lattice install and routing  the edges.  We wont be staining this deck, it will dry and the homeowners will stain. This deck is sweet and is going to be a blast come spring time.",../assets/gallery/custom-deck6.jpg,../assets/gallery/custom-deck7.jpg,custom-deck
blog,Drywall Framing,Hanging drywall board ,"July 23, 2022",Brian McGee,We had good time here with general framing and windows as well as the electrical re-wire. We installed the drywall which we will finish later. Also added blocking for the TV. Someone will enjoy the games.,../assets/gallery/drywall-hang1.jpg,../assets/gallery/drywall-hang2.jpg,drywall
blog,Door Replacement,Exterior door replacement ,"July 28, 2022",Brian McGee,Our clients door was rusting and not shutting correctly. We simply replaced an exterior door for one of our clients. Another happy client. ,../assets/gallery/door2.jpg,../assets/gallery/door1.jpg,door
blog,Flooring,Sub-floor replacement and flooring installation,"Aug 03, 2022",Brian McGee,"This bathroom had a leaky toilet which rotted the subfloor and toilet flange. We removed all the old subfloor minus the tub area  and flange then installed new. Next we followed with a low maintenance LVT vinyl floor, new toilet vanity and mirror. Mini makeover for this bathroom here! Job well done!",../assets/gallery/flooring1a.jpg,../assets/gallery/flooring1b.jpg,flooring
blog,Drywall Finish,Smooth finish drywall work today,"Aug 20, 2022",Brian McGee,We have returned from installing the original 30 sheets and are finishing this board on with a smooth finish. We have taken extra caution in protecting the floors. We are all sanded down and ready to for clean up here. This is beautiful but we wont be painting it. The homeowner will finish the rest.,../assets/gallery/drywall-finish.jpg,../assets/gallery/drywall-finish2.jpg,drywall
blog,Kitchen Remodel,Kitchen cabinet and flooring install,"Aug 24, 2022",Brian McGee,We are working on a kitchen today. We removed a section of flooring and installed a low maintenance LVT floor. Then we set the cabinets back in place on this one. We will return as soon as the counters are ready for the install. Job well done!,../assets/gallery/kitchen-1a.jpg,../assets/gallery/kitchen-1b.jpg,kitchen-remodel-ah
blog,Custom Deck,Custom covered wood deck for the RV,"Oct 6, 2022",Brian McGee,What an awesome job here building this custom wood deck with metal roof cover. Our clients got a new fifth wheel which is so cool inside. They needed a new covered deck to enjoy the fun weekends at the campground. BRM was able to deliever. We removed the old covered deck and assisted with the new RV hookup. Next we were able to deliver an awesome outdoor space just in time for Halloween.,../assets/gallery/deck-rv-2.jpg,../assets/gallery/deck-rv-1.jpg,custom-deck
blog,Flooring,LVT Floor installation,"Oct 26, 2022",Brian McGee,Simply LVT flooring install here. We installaed a shower set and subfloor a couple months back. Now we return and finished the floors. Homeowner will be installing the trim.,../assets/gallery/flooring1.jpg,../assets/gallery/flooring2.jpg,flooring
blog,Siding and Roofing,Total transformation! BRM delivers new exteriors on this one.,"Nov 12, 2022",Brian McGee,"This outbuilding in surrounded by trees and needed a low maintenance building system. We installed all new vinyl siding, soffit and fascia, gutters and a custom colored galvalume metal roof. This is beautiful.",../assets/gallery/siding-roof-after.jpg,../assets/gallery/siding-roof-before.jpg,siding-roofing
blog,Bathroom Remodel,Bathroom with fresh electrical switches and lights,"Dec 14, 2022",Brian McGee,"This project was great! We're completing it winter time. We are closing up this wall area after getting the electrical leads and boxes ran. We installed new exhaust vent, recessed lighting and a vanity light.",../assets/gallery/bathroom4.jpg,../assets/gallery/bathroom3.jpg,bathroom
blog,Bathroom Remodel,Bathroom Renovation fresh update,"Dec 14, 2022",Brian McGee,This project was great! We're completing it winter time. We removed everything down to the wood studs and installed all new insulation and fixtures. A 4-piece acrylic bathtub/shower combo kit. All new elctrical and lighting with bathroom exhaust. New smooth finished drywall surface freshly painted to our clients likings. I know its a bathroom but this will be a fun place.,../assets/gallery/bathroom1.jpg,../assets/gallery/bathroom2.jpg,bathroom
blog,Bathroom Remodel,Fresh bath tub install with new plumbing,"Dec 14, 2022",Brian McGee,"This project was great! We're completing it winter time. We are installing new plumbing fixtures, valves and framing on this bathtub.",../assets/gallery/bathroom6.jpg,../assets/gallery/bathroom5.jpg,bathroom
blog,Kitchen Remodel,Kitchen wall repairs with new drywall finish,"Dec 09, 2022",Brian McGee,Today we are refinishing our clients kitchen walls. Installating some new wall board and then skim coating the walls flat. We also added some upgraded appliance wiring and new recessed light. The homeowners is going to paint and we shall return to install cabinets.,../assets/gallery/kitchen-drywall2.jpg,../assets/gallery/kitchen-drywall1.jpg,kitchen-remodel-ah
blog,Plumbing Repair,Water damage and plumbing repair,"Jan 29, 2023",Brian McGee,There was some mositure damaged drywall and a loose shower arm so we fixed it all on this one. Added some blocking for the shower arm and removed and replaced the damaged drywall. Oh yeah we added a clean access panel for the plumbing. Another happy client!,../assets/gallery/plumbing-repair2.jpg,../assets/gallery/plumbing-repair1.jpg,repair
blog,Kitchen Remodel,Kitchen Remodel,"Feb 08, 2023",Brian McGee,"We have been working this on over a couple trips. First we refinished all the walls and rework the electrical for updated appliances and added some lights. We just recently went back, the homeowner had the walls painted and cabinets assemblied. We installed all the cabinets on the walls and trimmed out. We will be back after the counters to finish the plumbing.",../assets/gallery/kitchen-cabinet1.jpg,../assets/gallery/kitchen-cabinet2.jpg,kitchen-remodel-ah
blog,Bathroom Remodel,Demo day - Start of bathroom remodel,"Feb 14, 2023",Brian McGee,"Great start day on this bathroom project here in Greensburg, the weather is awesome. Demo day - We are taking everything out down to the wood studs. This bathroom will be getting a complete update with all new fixtures, paint and flooring. Make sure to stop back to check the progress!",../assets/gallery/bathroom-demo1.jpg,../assets/gallery/bathroom-demo2.jpg,bathroom-remodel-rm
blog,Bathroom Remodel,Bathroom all cleaned and gutted ready for install,"Feb 15, 2023",Brian McGee,Well today was great we got this bathroom all clean out. Vaccumed all the rocks and coal dust out and picked up all the material for the installation. We are all set and ready for a fresh start in the morning.,../assets/gallery/bathroom-demo4.jpg,../assets/gallery/bathroom-demo3.jpg,bathroom-remodel-rm
blog,Bathroom Remodel,Acrylic tub/shower combo with fresh plumbing.,"Feb 17, 2023",Brian McGee,"We finished installing the tub and shower acrylic combo and have the accesories installed all in oil-rubbed bronze finish. We've made the shower back available for use over the weekend. This shower looks awesome, even has a recessed niche for accent tile and all of the soaps - plus its low maintenance and super easy to clean.",../assets/gallery/bathroom3-gb.jpg,../assets/gallery/plumbing-tub.jpg,bathroom-remodel-rm
blog,Bathroom Remodel,Drywall finishing smooth - bathroom remodel.,"Feb 21, 2023",Brian McGee,Rainy day today! We are currently in-progress on the bathroom remodel. All the drywall boards are installed and we are in progress of finishing the boards in a smooth finish. This bathroom is coming together quite nice! I just love the oil-rubbed bronze finish and subway tile look!,../assets/gallery/bathroom4-gb.jpg,../assets/gallery/bathroom5-gb.jpg,bathroom-remodel-rm
blog,Bathroom Remodel,Finishing the smooth finish drywall,"Feb 22, 2023",Brian McGee,Well another wet day but we made it back on site and finished the mud work on the walls. It's still drying so we will have to wait to sand and paint. Thought a before and in-progress pic drop was necessary. Check back for completion of this awesome bathroom project!,../assets/gallery/bathroom-in-prog-gb.jpg,../assets/gallery/bathroom-before-gb.jpg,bathroom-remodel-rm
blog,Bathroom Remodel,Floor and toilet install with some painting,"Feb 24, 2023",Brian McGee,"We have the walls all painted and LVT vinyl floors installed over a padding, beautiful floor. Tiolets installed and ready for use. We shall return to finish this awesome space out.",../assets/gallery/floor1b.jpg,../assets/gallery/floor1a.jpg,bathroom-remodel-rm
blog,Bathroom Remodel,Stained door install with new rustic vanity,"Feb 28, 2023",Brian McGee,"We stained the door ealier in the week and let it dry, now we installed the new oak door stained and all trimed out. Vanity is also installed and looks awesome. This bathroom is surely coming along. Check back as we finish this space.",../assets/gallery/door-hung.jpg,../assets/gallery/door-stain.jpg,bathroom-remodel-rm
blog,Bathroom Remodel,Awesome Bathroom Remodel all wrapped up,"March 2, 2023",Brian McGee,We are all wrapped up out here on this bathroom remodel. Final touches and punch out today. We've installed all the accesories. Beautiful 2-tone paint which complements the rustic cabinets. We hope the homeowners enjoy this space just as much as we enjoyed this project! Job well done!,../assets/gallery/bath-complete1a.jpg,../assets/gallery/bath-complete1b.jpg,bathroom-remodel-rm
blog,Custom Decks,"Spring is almost here, time for home projects","March 4, 2023",Brian McGee,"The beautiful weather is coming and what more to enjoy it on the beautiful new deck by BRM. Need a new bathroom, we can help. Bathroom remodel and general home repair. Call or connect today for a free estimate!",../assets/gallery/custom-deck2.jpg,../assets/gallery/--bg-bath.jpg,ad
